Data;hora;preciptacao;temperatura;humidade
19/01/2023;0300 UTC;0;19,9;91
19/01/2023;0400 UTC;0;20,3;90
19/01/2023;0500 UTC;0;19,9;89
19/01/2023;0600 UTC;0;19,6;91
19/01/2023;0700 UTC;0;20;91
19/01/2023;0800 UTC;0;20,2;91
19/01/2023;0900 UTC;0;20,2;90
19/01/2023;1000 UTC;0;21,2;85
19/01/2023;1100 UTC;0;21,7;84
19/01/2023;1200 UTC;0;22,6;74
19/01/2023;1300 UTC;0,6;25,8;64
19/01/2023;1400 UTC;0;27,5;50
19/01/2023;1500 UTC;0;29;42
19/01/2023;1600 UTC;0;29,8;44
19/01/2023;1700 UTC;0;31,1;43
19/01/2023;1800 UTC;0;31,8;41
19/01/2023;1900 UTC;0;30,5;42
19/01/2023;2000 UTC;0;28,9;46
19/01/2023;2100 UTC;0;27;56
19/01/2023;2200 UTC;0;25,8;60
19/01/2023;2300 UTC;0;23,7;73
20/01/2023;0000 UTC;0;23,7;71
20/01/2023;0100 UTC;0;22,3;79
20/01/2023;0200 UTC;0;21,8;83
20/01/2023;0300 UTC;0;21,4;87
20/01/2023;0400 UTC;0;21,2;88
20/01/2023;0500 UTC;0;20,8;89
20/01/2023;0600 UTC;0;20,8;89
20/01/2023;0700 UTC;0;20,9;87
20/01/2023;0800 UTC;0;20,9;87
20/01/2023;0900 UTC;0;20,9;88
20/01/2023;1000 UTC;0;22;84
20/01/2023;1100 UTC;0;23,3;78
20/01/2023;1200 UTC;0;25,4;65
20/01/2023;1300 UTC;0;26,8;65
20/01/2023;1400 UTC;0;28,8;55
20/01/2023;1500 UTC;0;28,4;55
20/01/2023;1600 UTC;0;28,4;59
20/01/2023;1700 UTC;0;29,5;49
20/01/2023;1800 UTC;0;31;47
20/01/2023;1900 UTC;0;29;50
20/01/2023;2000 UTC;3,6;24,5;85
20/01/2023;2100 UTC;0;25,2;72
20/01/2023;2200 UTC;0;24,8;70
20/01/2023;2300 UTC;0;24;72
21/01/2023;0000 UTC;0;23,7;71
21/01/2023;0100 UTC;0;23,5;75
21/01/2023;0200 UTC;0;23;79
21/01/2023;0300 UTC;0;22,5;83
21/01/2023;0400 UTC;0;22,2;85
21/01/2023;0500 UTC;0;21,5;88
21/01/2023;0600 UTC;0;21,3;89
21/01/2023;0700 UTC;0;20,9;90
21/01/2023;0800 UTC;0;20,7;89
21/01/2023;0900 UTC;0;20,7;90
21/01/2023;1000 UTC;0;21,7;88
21/01/2023;1100 UTC;0;23,1;81
21/01/2023;1200 UTC;0;25,9;70
21/01/2023;1300 UTC;0;25,5;67
21/01/2023;1400 UTC;0,6;22,8;72
21/01/2023;1500 UTC;10,2;25;79
21/01/2023;1600 UTC;7,4;19,1;91
21/01/2023;1700 UTC;3,6;20,5;92
21/01/2023;1800 UTC;0,6;20,7;89
21/01/2023;1900 UTC;0;21,4;88
21/01/2023;2000 UTC;0;23,1;79
21/01/2023;2100 UTC;0,2;22,3;81
21/01/2023;2200 UTC;0;21,4;85
21/01/2023;2300 UTC;0;20,6;87
22/01/2023;0000 UTC;0;20,3;90
22/01/2023;0100 UTC;0;19,9;91
22/01/2023;0200 UTC;0;19,8;92
22/01/2023;0300 UTC;0;20,2;92
22/01/2023;0400 UTC;0;20,4;92
22/01/2023;0500 UTC;0;20,3;92
22/01/2023;0600 UTC;0,2;20,3;92
22/01/2023;0700 UTC;0;19,9;93
22/01/2023;0800 UTC;0;19,4;93
